Country Name,Sovereign,GEO Region,GEO Subregion,GEO ID,ISO 2 Code,ISO 3 Code,UN Code,Developed,Least Developed,OECD,Sub-saharan,Small Island Dev. States,Arab World,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,Afghanistan,Asia + Pacific,South Asia,4,AF,AFG,,0,1,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5150441046.58,5585352695.45,5644309209.08,6275076016.47,6623602374.35,7533698918.3,7805768539.8,9446591725.72,10243250246.6,10869490317.8,12438473124.5,12679050960.3
Albania,Albania,Europe,Central Europe,8,AL,ALB,,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4951270195.09,5235752121.54,5390133341.17,5449690987.05,5381482837.55,5477307886.54,5786077052.68,5740491869.97,5658974607.69,6215622417.46,5620436779.35,3957405871.0,3672472648.83,4025030023.55,4359107515.37,4938868814.32,5388305876.25,4838698676.87,5453213409.04,6003987962.32,6442279084.97,6893238619.92,7093142539.9,7497451664.81,7939801314.04,8376483393.94,8795308419.26,9314240753.99,10016189785.2,10352156760.5,10735901446.7,11009168732.8,11187924451.5,11346504697.0
Algeria,Algeria,Africa,Northern Africa,12,DZ,DZA,,0,0,0,0,1,,19911948118.7,17202839688.0,13816453509.1,18557393903.3,19641036763.2,20860135941.3,19857812473.2,21734964027.3,24081522595.7,26112384900.6,28426636031.1,25205409492.0,32117733278.6,33342439056.3,35841427452.6,37649749894.3,40807342744.4,42953231927.7,46911301692.7,50419247456.9,50817865546.9,52342399515.1,55692315256.5,58699701960.9,61986883221.2,64280396209.6,64537518429.8,64085757409.6,63444896300.1,66236473110.5,66766365305.3,65965168511.7,67152543071.8,65742339160.0,65150660367.1,67626382079.4,70399062714.9,71173452353.5,74803300990.5,77197007769.9,78895342483.9,82534408887.1,87156335784.8,93431591961.3,97449150415.6,103198650298,104953027351,108521430279,110691858885,112462906106,116511760862,119774111432,123726646789,127190992899
American Samoa,United States of America,Asia + Pacific,South Pacific,16,AS,ASM,,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Andorra,Andorra,Europe,Western Europe,20,AD,AND,,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,699385987.16,731903753.47,791552048.21,853201805.72,901141387.49,906027405.33,935960661.34,962528600.2,976610426.48,977016174.1,998595805.31,997272978.39,1009703604.44,1027576527.55,1045915558.1,1070195816.86,1105012729.4,1166309140.18,1225724709.32,1284890812.16,1333477589.53,1367427937.5,1380134288.25,1365898317.42,1398450341.62,1437012525.57,1503829899.92,1640192292.22,1692592958.17,1761973717.03,1782514578.7,1992321406.34,2109356388.7,2251830449.72,2397857378.52,2539759285.93,2712207294.34,2750939553.74,2849168375.35,NULL,NULL,NULL,NULL,NULL
Angola,Angola,Africa,Southern Africa,24,AO,AGO,,0,1,0,1,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13636722325.2,14018550550.3,15126016043.8,15973072942.3,16036965234.0,15988854338.3,15796988086.3,14706995908.3,11074367919.0,11461978085.9,12654023806.9,14071274469.6,15182905155.8,16216065732.4,16741433777.6,17245698514.2,17973633439.3,20457911760.3,21531454923.4,23873962038.6,28233699333.7,34087992149.6,41789510725.4,47563628355.1,48711276728.4,50371188885.0,52345032774.3,55043649817.2,58786650195.2
Anguilla,United Kingdom of Great Britain and Northern Ireland,Latin America + Caribbean,Caribbean,28,AI,AIA,,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antarctica,Antarctic,Polar,Antarctic,32,AQ,ATA,,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antigua and Barbuda,Antigua and Barbuda,Latin America + Caribbean,Caribbean,36,AG,ATG,,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,273271552.99,284705572.78,305613128.9,331880773.81,345433851.28,346011772.74,362199550.8,397527103.48,429290757.93,483894079.8,523879095.09,552282769.33,584165409.77,599033015.08,611231939.61,616416334.96,649641801.61,690748679.66,661897359.8,706506337.15,741025117.08,773687088.17,805575410.43,846190664.14,819161287.45,843115623.11,892974373.55,940180750.75,997374093.5,1130786843.58,1238199658.05,1239080154.46,1089944280.49,1012089654.98,993938478.77,1033890251.78,1033152427.88
Argentina,Argentina,Latin America + Caribbean,South America,40,AR,ARG,,0,0,0,0,0,,76975586677.2,81153700577.6,80462253581.6,76191158790.4,83909549967.6,92778313917.6,92166231099.1,95108174083.7,99694766522.2,109344747376,112674998370,119050297475,120988932182,124390843372,131274389329,131237091515,128588396925,137504906364,131308763673,144732147992,150741082810,142164626696,135117272360,140353233431,143457529059,132573869433,143015095503,147176824957,143413653542,132663094184,129480560656,145885372310,163305215988,172951523638,183045321668,177837298575,187665814457,202887476446,210699007185,203565882783,201959750148,193055668513,172023248029,187225012601,204130632390,222907566121,241551386441,260882480577,268975350587,269111217520,293697869641,318823466135,321840164828,331254866750
